wetland ,Nest ID,Nest #,Exposure,Date,#eggs,#cowbird eggs,#Cwyoung,# live young,# fledged,# dead,Surv,Survive,Year,Trial,NestHeight,Success,AverageSPL,DistEdge,DistWater,DistRoad,DistRailroad,WaterDepth,,
Brant Marsh,7MS,202854,2,18/05/2012,2,0,0,0,0,0,1,2,2012,1,0.9,0,54.83,7.37,2.88,26.27,121.79,0,,
Brant Marsh,7MS,202855,4,22/05/2012,4,0,0,0,0,0,1,4,2012,1,0.9,0,54.83,7.37,2.88,26.27,121.79,0,,
Brant Marsh,7MS,202856,1,23/05/2012,4,0,0,0,0,0,1,4,2012,1,0.9,0,54.83,7.37,2.88,26.27,121.79,0,,
Brant Marsh,7MS,202857,2,25/05/2012,4,0,0,0,0,0,1,4,2012,1,0.9,0,54.83,7.37,2.88,26.27,121.79,0,,
Brant Marsh,7MS,202858,3,28/05/2012,4,0,0,0,0,0,1,4,2012,1,0.9,0,54.83,7.37,2.88,26.27,121.79,0,,
Brant Marsh,7MS,202859,2,30/05/2012,4,0,0,0,0,0,1,4,2012,1,0.9,0,54.83,7.37,2.88,26.27,121.79,0,,
Brant Marsh,7MS,202860,2.5,1.5/06/2012,3,0,0,1,0,0,0,4,2012,1,0.9,0,54.83,7.37,2.88,26.27,121.79,0,,
Brant Marsh,5CS,202817,3,10/05/2012,3,0,0,0,0,0,1,3,2012,1,0.7,0,55.25,2.11,22.19,59.33,72.11,0.02,,
Brant Marsh,5CS,202818,4,14/05/2012,3,0,0,0,0,0,1,3,2012,1,0.7,0,55.25,2.11,22.19,59.33,72.11,0.02,,
Brant Marsh,5CS,202819,4,18/05/2012,3,0,0,0,0,0,1,3,2012,1,0.7,0,55.25,2.11,22.19,59.33,72.11,0.02,,
Brant Marsh,5CS,202820,4,22/05/2012,0,0,0,3,0,0,1,3,2012,1,0.7,0,55.25,2.11,22.19,59.33,72.11,0.02,,
Brant Marsh,5CS,202821,1,23/05/2012,0,0,0,3,0,0,1,3,2012,1,0.7,0,55.25,2.11,22.19,59.33,72.11,0.02,,
Brant Marsh,5CS,202822,5,28/05/2012,0,0,0,1,0,0,1,1,2012,1,0.7,0,55.25,2.11,22.19,59.33,72.11,0.02,,
Brant Marsh,5CS,202823,1,29/05/2012,0,0,0,0,0,0,0,0,2012,1,0.7,0,55.25,2.11,22.19,59.33,72.11,0.02,,
Brant Marsh,8LM,202825,4,10/05/2012,4,0,0,0,0,0,1,4,2012,1,1.1,1,53.85,18.56,15.35,52.33,72.11,0.01,,
Brant Marsh,8LM,202826,4,14/05/2012,4,0,0,0,0,0,1,4,2012,1,1.1,1,53.85,18.56,15.35,52.33,72.11,0.01,,
Brant Marsh,8LM,202827,4,18/05/2012,4,0,0,0,0,0,1,4,2012,1,1.1,1,53.85,18.56,15.35,52.33,72.11,0.01,,
Brant Marsh,8LM,202828,4,22/05/2012,0,0,0,4,0,0,1,4,2012,1,1.1,1,53.85,18.56,15.35,52.33,72.11,0.01,,
Brant Marsh,8LM,202829,1,23/05/2012,0,0,0,3,0,0,1,3,2012,1,1.1,1,53.85,18.56,15.35,52.33,72.11,0.01,,
Brant Marsh,8LM,202830,2,25/05/2012,0,0,0,3,0,0,1,3,2012,1,1.1,1,53.85,18.56,15.35,52.33,72.11,0.01,,
Brant Marsh,8LM,202831,3,28/05/2012,0,0,0,3,0,0,1,3,2012,1,1.1,1,53.85,18.56,15.35,52.33,72.11,0.01,,
Brant Marsh,8LM,202832,1,29/05/2012,0,0,0,0,3,0,1,3,2012,1,1.1,1,53.85,18.56,15.35,52.33,72.11,0.01,,
Brant Marsh,9LM,202824,4,10/05/2012,4,0,0,0,0,0,1,4,2012,1,1.2,1,50.92,11.14,14.04,67.14,43.05,0.04,,
Brant Marsh,9LM,202825,4,14/05/2012,4,0,0,0,0,0,1,4,2012,1,1.2,1,50.92,11.14,14.04,67.14,43.05,0.04,,
Brant Marsh,9LM,202826,4,18/05/2012,2,0,0,2,0,0,1,4,2012,1,1.2,1,50.92,11.14,14.04,67.14,43.05,0.04,,
Brant Marsh,9LM,202827,4,22/05/2012,0,0,0,4,0,0,1,4,2012,1,1.2,1,50.92,11.14,14.04,67.14,43.05,0.04,,
Brant Marsh,9LM,202828,1,23/05/2012,0,0,0,4,0,0,1,4,2012,1,1.2,1,50.92,11.14,14.04,67.14,43.05,0.04,,
Brant Marsh,9LM,202829,2,25/05/2012,0,0,0,3,0,0,1,3,2012,1,1.2,1,50.92,11.14,14.04,67.14,43.05,0.04,,
Brant Marsh,9LM,202830,3,28/05/2012,0,0,0,1,0,0,1,1,2012,1,1.2,1,50.92,11.14,14.04,67.14,43.05,0.04,,
Brant Marsh,9LM,202831,1,29/05/2012,0,0,0,0,0,0,1,0,2012,1,1.2,1,50.92,11.14,14.04,67.14,43.05,0.04,,
Brant Marsh,4AF,202810,4,10/05/2012,4,0,0,0,0,0,1,4,2012,1,1,1,53.33,5.26,6.05,24.29,125.12,0,,
Brant Marsh,4AF,202811,4,14/05/2012,4,0,0,0,0,0,1,4,2012,1,1,1,53.33,5.26,6.05,24.29,125.12,0,,
Brant Marsh,4AF,202812,4,18/05/2012,0,0,0,4,0,0,1,4,2012,1,1,1,53.33,5.26,6.05,24.29,125.12,0,,
Brant Marsh,4AF,202813,4,22/05/2012,0,0,0,4,0,0,1,4,2012,1,1,1,53.33,5.26,6.05,24.29,125.12,0,,
Brant Marsh,4AF,202814,1.5,23.5/05/2012,0,0,0,0,4,0,1,0,2012,1,1,1,53.33,5.26,6.05,24.29,125.12,0,,
Brant Marsh,11LM,202836,4,10/05/2012,4,0,0,0,0,0,1,4,2012,1,1.4,1,52.92,2.55,33.42,63.01,53.93,0.01,,
Brant Marsh,11LM,202837,4,14/05/2012,4,0,0,0,0,0,1,4,2012,1,1.4,1,52.92,2.55,33.42,63.01,53.93,0.01,,
Brant Marsh,11LM,202838,4,18/05/2012,4,0,0,0,0,0,1,4,2012,1,1.4,1,52.92,2.55,33.42,63.01,53.93,0.01,,
Brant Marsh,11LM,202839,4,22/05/2012,0,0,0,4,0,0,1,4,2012,1,1.4,1,52.92,2.55,33.42,63.01,53.93,0.01,,
Brant Marsh,11LM,202840,1,23/05/2012,0,0,0,4,0,0,1,4,2012,1,1.4,1,52.92,2.55,33.42,63.01,53.93,0.01,,
Brant Marsh,11LM,202841,2,25/05/2012,0,0,0,4,0,0,1,4,2012,1,1.4,1,52.92,2.55,33.42,63.01,53.93,0.01,,
Brant Marsh,11LM,202842,3,28/05/2012,0,0,0,3,1,0,1,4,2012,1,1.4,1,52.92,2.55,33.42,63.01,53.93,0.01,,
Brant Marsh,11LM,202843,2,30/05/2012,0,0,0,1,3,0,1,4,2012,1,1.4,1,52.92,2.55,33.42,63.01,53.93,0.01,,
Brant Marsh,5DT,202829,3,10/05/2012,3,0,0,0,0,0,1,3,2012,1,2,1,55.08,8.93,9.70,100.29,61.67,0.06,,
Brant Marsh,5DT,202830,4,14/05/2012,4,0,0,0,0,0,1,4,2012,1,2,1,55.08,8.93,9.70,100.29,61.67,0.06,,
Brant Marsh,5DT,202831,4,18/05/2012,4,0,0,0,0,0,1,4,2012,1,2,1,55.08,8.93,9.70,100.29,61.67,0.06,,
Brant Marsh,5DT,202832,4,22/05/2012,1,0,0,3,0,0,1,4,2012,1,2,1,55.08,8.93,9.70,100.29,61.67,0.06,,
Brant Marsh,5DT,202833,1,23/05/2012,0,0,0,4,0,0,1,4,2012,1,2,1,55.08,8.93,9.70,100.29,61.67,0.06,,
Brant Marsh,5DT,202834,2,25/05/2012,0,0,0,4,0,0,1,4,2012,1,2,1,55.08,8.93,9.70,100.29,61.67,0.06,,
Brant Marsh,5DT,202835,3,28/05/2012,0,0,0,3,0,0,1,3,2012,1,2,1,55.08,8.93,9.70,100.29,61.67,0.06,,
Brant Marsh,5DT,202836,2,30/05/2012,0,0,0,3,0,0,1,3,2012,1,2,1,55.08,8.93,9.70,100.29,61.67,0.06,,
Brant Marsh,5DT,202837,2.5,1.5/05/2012,0,0,0,0,0,0,1,0,2012,1,2,1,55.08,8.93,9.70,100.29,61.67,0.06,,
Brant Marsh,15JR,202852,3,22/05/2012,3,0,0,0,0,0,1,3,2012,1,1,1,54.17,4.77,30.95,62.14,53.83,0.06,,
Brant Marsh,15JR,202853,1,23/05/2012,4,0,0,0,0,0,1,4,2012,1,1,1,54.17,4.77,30.95,62.14,53.83,0.06,,
Brant Marsh,15JR,202854,2,25/05/2012,4,0,0,0,0,0,1,4,2012,1,1,1,54.17,4.77,30.95,62.14,53.83,0.06,,
Brant Marsh,15JR,202855,3,28/05/2012,4,0,0,0,0,0,1,4,2012,1,1,1,54.17,4.77,30.95,62.14,53.83,0.06,,
Brant Marsh,15JR,202856,2,30/05/2012,4,0,0,0,0,0,1,4,2012,1,1,1,54.17,4.77,30.95,62.14,53.83,0.06,,
Brant Marsh,15JR,202857,5,04/06/2012,4,0,0,0,0,0,1,4,2012,1,1,1,54.17,4.77,30.95,62.14,53.83,0.06,,
Brant Marsh,15JR,202858,2,06/06/2012,0,0,0,3,1,0,1,4,2012,1,1,1,54.17,4.77,30.95,62.14,53.83,0.06,,
Brant Marsh,15JR,202859,1,07/05/2012,0,0,0,2,2,0,1,4,2012,1,1,1,54.17,4.77,30.95,62.14,53.83,0.06,,
Brant Marsh,15JR,202860,4,11/06/2012,0,0,0,2,2,0,1,4,2012,1,1,1,54.17,4.77,30.95,62.14,53.83,0.06,,
Brant Marsh,15JR,202861,1,12/06/2012,0,0,0,2,2,0,1,4,2012,1,1,1,54.17,4.77,30.95,62.14,53.83,0.06,,
Brant Marsh,10LM,202834,0,10/05/2012,0,0,0,0,0,0,0,0,2012,1,1.25,0,52.92,6.07,28.12,62.67,52.31,0.06,,
Brant Marsh,9JR,202830,0,10/05/2012,0,0,0,0,0,0,0,0,2012,1,1,0,51.92,4.37,18.56,73.28,38.46,0.02,,
Brant Marsh,9AF,202839,0,10/05/2012,0,0,0,0,0,0,0,0,2012,1,1,0,55.50,7.57,10.46,31.15,145.89,0,,
Brant Marsh,6MS,202813,0,14/05/2012,0,0,0,0,0,0,0,0,2012,1,0.9,0,56.10,5.95,2.44,24.65,121.04,0,,
Brant Marsh,8MS,202854,0,14/05/2012,0,0,0,0,0,0,0,0,2012,1,0.9,0,55.50,5.38,4.27,24.24,123.07,0,,
Brant Marsh,7CS,202810,0,10/05/2012,0,0,0,0,0,0,0,0,2012,1,1,0,55.42,3.50,7.63,59.47,96.87,0,,
